instance_id,rdf:type,oa:hasTarget,oa:hasBodyValue,prov:wasGeneratedBy
viewsari:annotation_24855,"oa:Annotation, prov:Entity",viewsari:textchunk_24855,"he made in the said S. Marco in Florence was the portrait of Pope Urban V from the life, with the heads of S. Peter and S. Paul; from which portrait Fra Giovanni da Fiesole",viewsari:cooccurrence_extraction_ang-cav_1
viewsari:annotation_24856,"oa:Annotation, prov:Entity",viewsari:textchunk_24856,Lippo finished what Simone,viewsari:cooccurrence_extraction_mem-mem_1
viewsari:annotation_24857,"oa:Annotation, prov:Entity",viewsari:textchunk_24857,"his Life, and Taddeo",viewsari:cooccurrence_extraction_gad-mem_1
viewsari:annotation_24858,"oa:Annotation, prov:Entity",viewsari:textchunk_24858,his master,viewsari:cooccurrence_extraction_gad-gad_1_01
viewsari:annotation_24859,"oa:Annotation, prov:Entity",viewsari:textchunk_24859,his master,viewsari:cooccurrence_extraction_mil-gad_1
viewsari:annotation_24860,"oa:Annotation, prov:Entity",viewsari:textchunk_24860,"Taddeo, then, adhered constantly to the manner of Giotto",viewsari:cooccurrence_extraction_gad-gio_1_02
viewsari:annotation_24861,"oa:Annotation, prov:Entity",viewsari:textchunk_24861,his brother Bernardo,viewsari:cooccurrence_extraction_orc-orc_1_01
viewsari:annotation_24862,"oa:Annotation, prov:Entity",viewsari:textchunk_24862,"Buffalmacco had done before. Wherefore, putting his",viewsari:cooccurrence_extraction_buf-orc_1
viewsari:annotation_24863,"oa:Annotation, prov:Entity",viewsari:textchunk_24863,"Andrea had a brother called Jacopo, who was engaged in sculpture, but with little profit",viewsari:cooccurrence_extraction_orc-orc_1_02
viewsari:annotation_24864,"oa:Annotation, prov:Entity",viewsari:textchunk_24864,Agnolo and Giovanni,viewsari:cooccurrence_extraction_gad-gad_1_02
viewsari:annotation_24865,"oa:Annotation, prov:Entity",viewsari:textchunk_24865,his father,viewsari:cooccurrence_extraction_gad-gad_1_03
viewsari:annotation_24866,"oa:Annotation, prov:Entity",viewsari:textchunk_24866,Giotto and Taddeo,viewsari:cooccurrence_extraction_gad-gio_2
viewsari:annotation_24867,"oa:Annotation, prov:Entity",viewsari:textchunk_24867,"Giotto and Taddeo and the other painters. Among these was one Jacopo di Casentino, who, being born, as it is read, of the family of Messer Cristoforo Landino of Pratovecchio, was apprenticed by a friar of the Casentino, then Prior at the Sasso della Vernia, to Taddeo Gaddi, while Taddeo was working in that convent, to the end that he",viewsari:cooccurrence_extraction_cas-gio_1
viewsari:annotation_24868,"oa:Annotation, prov:Entity",viewsari:textchunk_24868,"Taddeo their master, he",viewsari:cooccurrence_extraction_cas-gad_1
viewsari:annotation_24869,"oa:Annotation, prov:Entity",viewsari:textchunk_24869,"him, before he",viewsari:cooccurrence_extraction_are-cas_1
viewsari:annotation_24870,"oa:Annotation, prov:Entity",viewsari:textchunk_24870,"he showed to Spinello Aretino the principles of that art which was taught to him by Agnolo, and which Spinello taught afterwards to Bernardo Daddi, who, working in his",viewsari:cooccurrence_extraction_cas-dad_1
viewsari:annotation_24871,"oa:Annotation, prov:Entity",viewsari:textchunk_24871,"Spinello taught afterwards to Bernardo Daddi, who, working in his",viewsari:cooccurrence_extraction_are-dad_1
viewsari:annotation_24872,"oa:Annotation, prov:Entity",viewsari:textchunk_24872,himself the peer of Giotto,viewsari:cooccurrence_extraction_are-gio_1
viewsari:annotation_24873,"oa:Annotation, prov:Entity",viewsari:textchunk_24873,his leave of Antonio,viewsari:cooccurrence_extraction_sta-vin_1
viewsari:annotation_24874,"oa:Annotation, prov:Entity",viewsari:textchunk_24874,his hand in verses and words that are no less rude than the pictures. Having returned to his,viewsari:cooccurrence_extraction_bic-mon_1
viewsari:annotation_24875,"oa:Annotation, prov:Entity",viewsari:textchunk_24875,"Simone, painters of Bologna, and one Cristofano—I know not whether of Ferrara, or, as others say, of Modena",viewsari:cooccurrence_extraction_cri-sim_1
viewsari:annotation_24876,"oa:Annotation, prov:Entity",viewsari:textchunk_24876,"Jacopo and Simone, painters of Bologna, and one Cristofano—I know not whether of Ferrara, or, as others say, of Modena",viewsari:cooccurrence_extraction_ava-cri_1
viewsari:annotation_24877,"oa:Annotation, prov:Entity",viewsari:textchunk_24877,"Cristofano painted scenes on one side, from the Creation of Adam by God up to the death of Moses, Simone and Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso",viewsari:cooccurrence_extraction_cri-gal_1
viewsari:annotation_24878,"oa:Annotation, prov:Entity",viewsari:textchunk_24878,Jacopo and Simone,viewsari:cooccurrence_extraction_ava-sim_1
viewsari:annotation_24879,"oa:Annotation, prov:Entity",viewsari:textchunk_24879,"Simone and Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso",viewsari:cooccurrence_extraction_gal-sim_1
viewsari:annotation_24880,"oa:Annotation, prov:Entity",viewsari:textchunk_24880,"Jacopo painted thirty scenes, from the Birth of Christ up to the Last Supper that He held with the Apostles, and Galasso",viewsari:cooccurrence_extraction_ava-gal_1
viewsari:annotation_24881,"oa:Annotation, prov:Entity",viewsari:textchunk_24881,his master,viewsari:cooccurrence_extraction_ban-don_1
viewsari:annotation_24882,"oa:Annotation, prov:Entity",viewsari:textchunk_24882,"Giotto, to go with that wherein are the Sciences and Arts, formerly made, as it has been said, by Andrea Pisano. In the first Luca",viewsari:cooccurrence_extraction_gio-rob_1
viewsari:annotation_24883,"oa:Annotation, prov:Entity",viewsari:textchunk_24883,his with much more judgment and mastery than Luca,viewsari:cooccurrence_extraction_don-rob_1
viewsari:annotation_24884,"oa:Annotation, prov:Entity",viewsari:textchunk_24884,"Agostino, his",viewsari:cooccurrence_extraction_rob-rob_1_01
viewsari:annotation_24885,"oa:Annotation, prov:Entity",viewsari:textchunk_24885,his brother,viewsari:cooccurrence_extraction_rob-rob_1_02
viewsari:annotation_24886,"oa:Annotation, prov:Entity",viewsari:textchunk_24886,his brother,viewsari:cooccurrence_extraction_rob-rob_1_03
viewsari:annotation_24887,"oa:Annotation, prov:Entity",viewsari:textchunk_24887,Donato saw Paolo,viewsari:cooccurrence_extraction_don-ucc_1
viewsari:annotation_24888,"oa:Annotation, prov:Entity",viewsari:textchunk_24888,his father,viewsari:cooccurrence_extraction_ghi-ghi_1_01
viewsari:annotation_24889,"oa:Annotation, prov:Entity",viewsari:textchunk_24889,"his father Bartoluccio, he polished it with such love and patience that nothing could be executed or finished better. And when the time came for comparing the various works, his and those of the other masters were completely finished, and were given to the Guild of Merchants for judgment; but after all had been seen by the Consuls and by many other citizens, diverse opinions were expressed about them. Many foreigners had assembled in Florence, some painters, some sculptors, and others goldsmiths; and they were invited by the Consuls to give judgment on these works, together with the other men of that profession who lived in Florence. They numbered thirty-four in all, each well experienced in his own art. Now, although there were differences of opinion among them, some liking the manner of one man and some that of another, nevertheless they were agreed that Filippo di Ser Brunellesco and Lorenzo di Bartoluccio had composed and completed their scenes better and with a richer abundance of figures than Donato",viewsari:cooccurrence_extraction_don-ghi_1_01
viewsari:annotation_24890,"oa:Annotation, prov:Entity",viewsari:textchunk_24890,"his father Bartoluccio, he polished it with such love and patience that nothing could be executed or finished better. And when the time came for comparing the various works, his and those of the other masters were completely finished, and were given to the Guild of Merchants for judgment; but after all had been seen by the Consuls and by many other citizens, diverse opinions were expressed about them. Many foreigners had assembled in Florence, some painters, some sculptors, and others goldsmiths; and they were invited by the Consuls to give judgment on these works, together with the other men of that profession who lived in Florence. They numbered thirty-four in all, each well experienced in his own art. Now, although there were differences of opinion among them, some liking the manner of one man and some that of another, nevertheless they were agreed that Filippo di Ser Brunellesco and Lorenzo di Bartoluccio had composed and completed their scenes better and with a richer abundance of figures than Donato had done in his, although in that one, also, there was grand design. In that of Jacopo della Quercia the figures were good, but they had no delicacy, although they were made with design and diligence. The work of Francesco di Valdambrina had good heads and was well finished, but was confused in the composition. That of Simone da Colle",viewsari:cooccurrence_extraction_col-ghi_1_01
viewsari:annotation_24891,"oa:Annotation, prov:Entity",viewsari:textchunk_24891,"Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle",viewsari:cooccurrence_extraction_col-don_1
viewsari:annotation_24892,"oa:Annotation, prov:Entity",viewsari:textchunk_24892,Andrea Pisano; but on seeing how greatly Lorenzo,viewsari:cooccurrence_extraction_ghi-pis_1
viewsari:annotation_24893,"oa:Annotation, prov:Entity",viewsari:textchunk_24893,"Lorenzo deserve to be praised, seeing that one day Michelagnolo Buonarroti",viewsari:cooccurrence_extraction_buo-ghi_1_01
viewsari:annotation_24894,"oa:Annotation, prov:Entity",viewsari:textchunk_24894,"Lorenzo had a son called Bonaccorso, who finished with his",viewsari:cooccurrence_extraction_ghi-ghi_1_02
viewsari:annotation_24895,"oa:Annotation, prov:Entity",viewsari:textchunk_24895,"he had been left with the secret of making castings in such a way as to make them come out delicate, and also with the knowledge and the method of perforating the metal in that manner which is seen in the works left by Lorenzo. The latter, besides the works by his own hand, bequeathed to his heirs many antiquities both in marble and in bronze, such as the bed of Polycletus",viewsari:cooccurrence_extraction_ghi-pol_1_01
viewsari:annotation_24896,"oa:Annotation, prov:Entity",viewsari:textchunk_24896,"his heirs many antiquities both in marble and in bronze, such as the bed of Polycletus",viewsari:cooccurrence_extraction_ghi-pol_1_02
viewsari:annotation_24897,"oa:Annotation, prov:Entity",viewsari:textchunk_24897,"Lorenzo. These drawings, with some by Giotto and by others, I had from Vittorio Ghiberti",viewsari:cooccurrence_extraction_ghi-ghi_1_03
viewsari:annotation_24898,"oa:Annotation, prov:Entity",viewsari:textchunk_24898,"his discipline: and since the doors of S. Giovanni were then being given their finish, he was put to labour on those figures, in company with many others, as it has been said above. And having, in this work, contracted a friendship with Masolino da Panicale",viewsari:cooccurrence_extraction_ghi-pan_1
viewsari:annotation_24899,"oa:Annotation, prov:Entity",viewsari:textchunk_24899,his father Spinello,viewsari:cooccurrence_extraction_are-spi_1
viewsari:annotation_24900,"oa:Annotation, prov:Entity",viewsari:textchunk_24900,"his hand at this, and had done something, solving this difficulty to some extent, yet Masaccio",viewsari:cooccurrence_extraction_mas-ucc_1
viewsari:annotation_24901,"oa:Annotation, prov:Entity",viewsari:textchunk_24901,"Filippo di Ser Brunellesco, hearing of his",viewsari:cooccurrence_extraction_bru-mas_1
viewsari:annotation_24902,"oa:Annotation, prov:Entity",viewsari:textchunk_24902,him his,viewsari:cooccurrence_extraction_bru-don_1
viewsari:annotation_24903,"oa:Annotation, prov:Entity",viewsari:textchunk_24903,"Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina",viewsari:cooccurrence_extraction_don-val_1
viewsari:annotation_24904,"oa:Annotation, prov:Entity",viewsari:textchunk_24904,Lorenzo and to Donato,viewsari:cooccurrence_extraction_don-ghi_1_02
viewsari:annotation_24905,"oa:Annotation, prov:Entity",viewsari:textchunk_24905,"Simone da Colle, Francesco di Valdambrina",viewsari:cooccurrence_extraction_col-val_1
viewsari:annotation_24906,"oa:Annotation, prov:Entity",viewsari:textchunk_24906,"Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina",viewsari:cooccurrence_extraction_ghi-val_1
viewsari:annotation_24907,"oa:Annotation, prov:Entity",viewsari:textchunk_24907,"Filippo and Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina",viewsari:cooccurrence_extraction_bru-val_1
viewsari:annotation_24908,"oa:Annotation, prov:Entity",viewsari:textchunk_24908,"Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle",viewsari:cooccurrence_extraction_col-ghi_1_02
viewsari:annotation_24909,"oa:Annotation, prov:Entity",viewsari:textchunk_24909,"Filippo and Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle",viewsari:cooccurrence_extraction_bru-col_1
viewsari:annotation_24910,"oa:Annotation, prov:Entity",viewsari:textchunk_24910,"Lorenzo: ""My",viewsari:cooccurrence_extraction_bru-ghi_1
viewsari:annotation_24911,"oa:Annotation, prov:Entity",viewsari:textchunk_24911,"Simone, the brother of Donato",viewsari:cooccurrence_extraction_don-sim_1
viewsari:annotation_24912,"oa:Annotation, prov:Entity",viewsari:textchunk_24912,Donato and of Michelagnolo Buonarroti,viewsari:cooccurrence_extraction_buo-don_1
viewsari:annotation_24913,"oa:Annotation, prov:Entity",viewsari:textchunk_24913,this man Donatello,viewsari:cooccurrence_extraction_don-mic_1
viewsari:annotation_24914,"oa:Annotation, prov:Entity",viewsari:textchunk_24914,"he made a tomb of marble in the Church of S. Martino in Lucca, opposite to the Chapel of the Sacrament, for Messer Piero di Nocera, who is portrayed there from nature. Filarete",viewsari:cooccurrence_extraction_fil-par_1
viewsari:annotation_24915,"oa:Annotation, prov:Entity",viewsari:textchunk_24915,"Filarete, and Bernardo Ciuffagni",viewsari:cooccurrence_extraction_ciu-fil_1
viewsari:annotation_24916,"oa:Annotation, prov:Entity",viewsari:textchunk_24916,"himself to tarsia, to sculpture, and to architecture, Filippo di Ser Brunellesco",viewsari:cooccurrence_extraction_bru-mai_1_01
viewsari:annotation_24917,"oa:Annotation, prov:Entity",viewsari:textchunk_24917,his uncle Giuliano,viewsari:cooccurrence_extraction_mai-mai_1
viewsari:annotation_24918,"oa:Annotation, prov:Entity",viewsari:textchunk_24918,Polito and Benedetto,viewsari:cooccurrence_extraction_don-mai_1_01
viewsari:annotation_24919,"oa:Annotation, prov:Entity",viewsari:textchunk_24919,Polito followed Giuliano,viewsari:cooccurrence_extraction_don-mai_1_02
viewsari:annotation_24920,"oa:Annotation, prov:Entity",viewsari:textchunk_24920,"Piero wrought in the Madonna delle Grazie, Lorentino",viewsari:cooccurrence_extraction_ang-fra_1
viewsari:annotation_24921,"oa:Annotation, prov:Entity",viewsari:textchunk_24921,he was persuaded by Piero della Francesca,viewsari:cooccurrence_extraction_fra-vas_1
viewsari:annotation_24922,"oa:Annotation, prov:Entity",viewsari:textchunk_24922,"he left a son called Giorgio, who occupied himself",viewsari:cooccurrence_extraction_vas-vas_1_01
viewsari:annotation_24923,"oa:Annotation, prov:Entity",viewsari:textchunk_24923,"he left a son called Giorgio, who occupied himself",viewsari:cooccurrence_extraction_vas-vas_1_02
viewsari:annotation_24924,"oa:Annotation, prov:Entity",viewsari:textchunk_24924,he should see his,viewsari:cooccurrence_extraction_eyc-mes_1
viewsari:annotation_24925,"oa:Annotation, prov:Entity",viewsari:textchunk_24925,"Antonello, who would not be beaten in courtesy by Maestro Domenico",viewsari:cooccurrence_extraction_mes-vin_1
viewsari:annotation_24926,"oa:Annotation, prov:Entity",viewsari:textchunk_24926,his pupil,viewsari:cooccurrence_extraction_don-pad_1
viewsari:annotation_24927,"oa:Annotation, prov:Entity",viewsari:textchunk_24927,"himself, giving but a little share to the boy",viewsari:cooccurrence_extraction_dia-lip_1_01
viewsari:annotation_24928,"oa:Annotation, prov:Entity",viewsari:textchunk_24928,"himself, giving but a little share to the boy",viewsari:cooccurrence_extraction_dia-lip_1_02
viewsari:annotation_24930,"oa:Annotation, prov:Entity",viewsari:textchunk_24930,"him in the best way that he could, he sent his son Filippino",viewsari:cooccurrence_extraction_lip-lip_1_01
viewsari:annotation_24931,"oa:Annotation, prov:Entity",viewsari:textchunk_24931,he was; and Mino,viewsari:cooccurrence_extraction_min-rom_1
viewsari:annotation_24932,"oa:Annotation, prov:Entity",viewsari:textchunk_24932,he sent to Baccio (who remained there),viewsari:cooccurrence_extraction_cam-cel_1
viewsari:annotation_24933,"oa:Annotation, prov:Entity",viewsari:textchunk_24933,"he sent to Baccio (who remained there), as presents for the King, certain pictures by the hand of Berto Linaiuolo",viewsari:cooccurrence_extraction_cam-lin_1
viewsari:annotation_24934,"oa:Annotation, prov:Entity",viewsari:textchunk_24934,"Baccio (who remained there), as presents for the King, certain pictures by the hand of Berto Linaiuolo",viewsari:cooccurrence_extraction_cel-lin_1
viewsari:annotation_24935,"oa:Annotation, prov:Entity",viewsari:textchunk_24935,his rival Domenico,viewsari:cooccurrence_extraction_cas-vin_1_01
viewsari:annotation_24936,"oa:Annotation, prov:Entity",viewsari:textchunk_24936,Andrea dal Castagno; and he,viewsari:cooccurrence_extraction_cas-pes_1
viewsari:annotation_24937,"oa:Annotation, prov:Entity",viewsari:textchunk_24937,"Donato, he",viewsari:cooccurrence_extraction_don-pes_1
viewsari:annotation_24938,"oa:Annotation, prov:Entity",viewsari:textchunk_24938,"him, and became a very good master. Wherefore, having given good proof of his knowledge, he was commissioned by the Signoria of Florence to paint a panel in distemper of the Magi bringing offerings to Christ, which was placed half-way up the staircase of their Palace, and acquired great fame for Pesello, above all because he had made certain portraits therein, including that of Donato Acciaiuoli",viewsari:cooccurrence_extraction_cas-don_1
viewsari:annotation_24939,"oa:Annotation, prov:Entity",viewsari:textchunk_24939,his master,viewsari:cooccurrence_extraction_fie-set_1
viewsari:annotation_24940,"oa:Annotation, prov:Entity",viewsari:textchunk_24940,his master,viewsari:cooccurrence_extraction_cos-fer_1
viewsari:annotation_24941,"oa:Annotation, prov:Entity",viewsari:textchunk_24941,his master,viewsari:cooccurrence_extraction_bol-fer_1
viewsari:annotation_24942,"oa:Annotation, prov:Entity",viewsari:textchunk_24942,"that name in tender memory of Gentile da Fabriano, who had been his master and like a loving father to him",viewsari:cooccurrence_extraction_bel-fab_1
viewsari:annotation_24943,"oa:Annotation, prov:Entity",viewsari:textchunk_24943,"that name in tender memory of Gentile da Fabriano, who had been his master and like a loving father to him",viewsari:cooccurrence_extraction_bel-vin_1
viewsari:annotation_24945,"oa:Annotation, prov:Entity",viewsari:textchunk_24945,"that name in tender memory of Gentile da Fabriano, who had been his master and like a loving father to him",viewsari:cooccurrence_extraction_fab-vin_1
viewsari:annotation_24946,"oa:Annotation, prov:Entity",viewsari:textchunk_24946,Giovanni and partly to the said Vivarino,viewsari:cooccurrence_extraction_bel-viv_1_01
viewsari:annotation_24947,"oa:Annotation, prov:Entity",viewsari:textchunk_24947,his brother Gentile,viewsari:cooccurrence_extraction_bel-bel_1
viewsari:annotation_24948,"oa:Annotation, prov:Entity",viewsari:textchunk_24948,"him, painted, beside the last scene of Gentile",viewsari:cooccurrence_extraction_bel-viv_1_02
viewsari:annotation_24949,"oa:Annotation, prov:Entity",viewsari:textchunk_24949,"him, occupying himself",viewsari:cooccurrence_extraction_cos-ros_1_01
viewsari:annotation_24950,"oa:Annotation, prov:Entity",viewsari:textchunk_24950,"Domenico del Ghirlandajo, he obtained for him",viewsari:cooccurrence_extraction_ghe-ghi_1
viewsari:annotation_24951,"oa:Annotation, prov:Entity",viewsari:textchunk_24951,his brother,viewsari:cooccurrence_extraction_ghi-ghi_1_04
viewsari:annotation_24952,"oa:Annotation, prov:Entity",viewsari:textchunk_24952,his art. Domenico,viewsari:cooccurrence_extraction_ghi-mai_1
viewsari:annotation_24953,"oa:Annotation, prov:Entity",viewsari:textchunk_24953,"Antonio, then, being pushed on by Bartoluccio",viewsari:cooccurrence_extraction_ghi-pol_1_03
viewsari:annotation_24954,"oa:Annotation, prov:Entity",viewsari:textchunk_24954,his brother Piero,viewsari:cooccurrence_extraction_pol-pol_1
viewsari:annotation_24955,"oa:Annotation, prov:Entity",viewsari:textchunk_24955,his brother Piero,viewsari:cooccurrence_extraction_sal-pol_1
viewsari:annotation_24956,"oa:Annotation, prov:Entity",viewsari:textchunk_24956,my master,viewsari:cooccurrence_extraction_bia-bot_1
viewsari:annotation_24957,"oa:Annotation, prov:Entity",viewsari:textchunk_24957,"his brothers, Domenico and Giuliano, who likewise executed that of the Sala dell' Orivolo and that of the Audience Chamber. And since the said marble door had been made double by Benedetto",viewsari:cooccurrence_extraction_mai-tas_1
viewsari:annotation_24958,"oa:Annotation, prov:Entity",viewsari:textchunk_24958,"his rivals Baccio Cellini, piper to the Signoria of Florence, who made many very beautiful inlaid works in ivory",viewsari:cooccurrence_extraction_cel-mai_1
viewsari:annotation_24959,"oa:Annotation, prov:Entity",viewsari:textchunk_24959,Donatello and Ghiberti,viewsari:cooccurrence_extraction_don-ghi_2
viewsari:annotation_24960,"oa:Annotation, prov:Entity",viewsari:textchunk_24960,himself in that art much better than he,viewsari:cooccurrence_extraction_ver-vin_1
viewsari:annotation_24961,"oa:Annotation, prov:Entity",viewsari:textchunk_24961,"Andrea, having a very strait friendship with Orsino, a Florentine worker in wax, who had no little judgment in that art",viewsari:cooccurrence_extraction_ors-ver_1
viewsari:annotation_24962,"oa:Annotation, prov:Entity",viewsari:textchunk_24962,"Squarcione, contrived to get him",viewsari:cooccurrence_extraction_man-squ_1
viewsari:annotation_24963,"oa:Annotation, prov:Entity",viewsari:textchunk_24963,"him to marry his daughter, the sister of Gentile",viewsari:cooccurrence_extraction_bel-man_1
viewsari:annotation_24964,"oa:Annotation, prov:Entity",viewsari:textchunk_24964,"Gentile. Hearing this, Squarcione",viewsari:cooccurrence_extraction_bel-squ_1
viewsari:annotation_24965,"oa:Annotation, prov:Entity",viewsari:textchunk_24965,his death. Filippo,viewsari:cooccurrence_extraction_lip-mas_1_01
viewsari:annotation_24966,"oa:Annotation, prov:Entity",viewsari:textchunk_24966,his death. Filippo,viewsari:cooccurrence_extraction_lip-mas_1_02
viewsari:annotation_24967,"oa:Annotation, prov:Entity",viewsari:textchunk_24967,Francia and Raffaello,viewsari:cooccurrence_extraction_fra-san_1_01
viewsari:annotation_24968,"oa:Annotation, prov:Entity",viewsari:textchunk_24968,"he died of grief and melancholy, so some believe, overtaken by the same fate, through contemplating too attentively that most lifelike picture of Raffaello's, as befell Fivizzano",viewsari:cooccurrence_extraction_fiv-fra_1
viewsari:annotation_24969,"oa:Annotation, prov:Entity",viewsari:textchunk_24969,Michelagnolo told him,viewsari:cooccurrence_extraction_buo-per_1
viewsari:annotation_24970,"oa:Annotation, prov:Entity",viewsari:textchunk_24970,"he was painting the Deposition of Christ from the Cross, Filippino",viewsari:cooccurrence_extraction_lip-per_1
viewsari:annotation_24971,"oa:Annotation, prov:Entity",viewsari:textchunk_24971,his master's,viewsari:cooccurrence_extraction_per-san_1_01
viewsari:annotation_24972,"oa:Annotation, prov:Entity",viewsari:textchunk_24972,Pietro's manner. His,viewsari:cooccurrence_extraction_per-pin_1
viewsari:annotation_24973,"oa:Annotation, prov:Entity",viewsari:textchunk_24973,his master,viewsari:cooccurrence_extraction_lui-per_1
